"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
21,0.376838695593711,0.0284043291662774,0.32114443858379,0.432333078665947,1.00211717652523,1400,2023,"MM.p.uw","Africa"
22,0.379299013217211,0.0298706879216773,0.321845968915212,0.437855048959642,1.00433657935505,550,2024,"MM.p.uw","Africa"
23,0.327619088212925,0.0270345971524444,0.2759015050004,0.380791928689412,1.00165913134019,2000,2025,"MM.p.uw","Africa"
1,0.4332972951722,0.0358042295493878,0.363785859771786,0.503553750417151,1.00393723757405,720,2003,"MM.p.w","Africa"
2,0.476004069113684,0.032103552062599,0.412036997317532,0.538354516004651,1.00126638644643,3300,2004,"MM.p.w","Africa"
3,0.410612565995907,0.0352065762137346,0.341886696718627,0.480881843730362,1.00360060615229,680,2005,"MM.p.w","Africa"
4,0.465841521469697,0.0389317533013365,0.388192009905733,0.541615615987743,1.00069880544265,4500,2006,"MM.p.w","Africa"
5,0.473382649603547,0.0374395119301477,0.397085757408784,0.543969964588166,1.0037570301412,650,2007,"MM.p.w","Africa"
6,0.551987468100338,0.0315442714499895,0.492151367305832,0.614099398728413,1.0016514098124,2000,2008,"MM.p.w","Africa"
7,0.552454131244882,0.0302191159023611,0.492687993723226,0.610161753160488,1.00129838503279,3200,2009,"MM.p.w","Africa"
8,0.542478322749076,0.0295775766810782,0.481585287552775,0.600508579528095,1.00160055689982,2100,2010,"MM.p.w","Africa"
9,0.691390835450729,0.0236139303845517,0.643106416757829,0.737905292626413,1.0008662509722,4500,2011,"MM.p.w","Africa"
10,0.682217911259466,0.0235058168570034,0.633826134218552,0.726396866381259,1.00178714927517,1800,2012,"MM.p.w","Africa"
11,0.626764214423302,0.025256028980327,0.57530037093209,0.675644547649856,1.00260043994613,1000,2013,"MM.p.w","Africa"
12,0.662750701263856,0.0258309449327697,0.610376591041072,0.711535914515833,1.00121542050867,3600,2014,"MM.p.w","Africa"
13,0.643328715246889,0.0248620586430858,0.594781911400266,0.69110919812176,1.00160743150794,2100,2015,"MM.p.w","Africa"
14,0.639279598478252,0.0275310531916818,0.585134081313419,0.691794887974688,1.0014629763287,2500,2016,"MM.p.w","Africa"
15,0.581673068764816,0.0275485350162786,0.526432190979177,0.634365149557175,1.00285177462517,920,2017,"MM.p.w","Africa"
16,0.546082946464988,0.0239267643940667,0.498693904066852,0.592265838028756,1.00078738035288,4500,2018,"MM.p.w","Africa"
17,0.430093904362068,0.0275841082940166,0.37704081981464,0.484230943722076,1.00117974786114,3900,2019,"MM.p.w","Africa"
18,0.37396198261789,0.0301168036684113,0.314444168158222,0.432886284406993,1.00198111679574,1500,2020,"MM.p.w","Africa"
19,0.409583262248574,0.0326365561339402,0.346568860532908,0.474688252212966,1.00117065940724,4000,2021,"MM.p.w","Africa"
20,0.325263731123647,0.0289337150562261,0.268775606236101,0.381299308119252,1.00070027065149,4500,2022,"MM.p.w","Africa"
21,0.376838695593711,0.0284043291662774,0.32114443858379,0.432333078665947,1.00211717652523,1400,2023,"MM.p.w","Africa"
22,0.379299013217211,0.0298706879216773,0.321845968915212,0.437855048959642,1.00433657935505,550,2024,"MM.p.w","Africa"
23,0.327619088212925,0.0270345971524444,0.2759015050004,0.380791928689412,1.00165913134019,2000,2025,"MM.p.w","Africa"
1,0.367208672086721,NA,NA,NA,NA,NA,2003,"Observed","Africa"
2,0.490825688073394,NA,NA,NA,NA,NA,2004,"Observed","Africa"
3,0.339943342776204,NA,NA,NA,NA,NA,2005,"Observed","Africa"
4,0.344972067039106,NA,NA,NA,NA,NA,2006,"Observed","Africa"
5,0.496807151979566,NA,NA,NA,NA,NA,2007,"Observed","Africa"
6,0.506907545164718,NA,NA,NA,NA,NA,2008,"Observed","Africa"
7,0.319512195121951,NA,NA,NA,NA,NA,2009,"Observed","Africa"
8,0.565174129353234,NA,NA,NA,NA,NA,2010,"Observed","Africa"
9,0.688028169014084,NA,NA,NA,NA,NA,2011,"Observed","Africa"
10,0.579822616407982,NA,NA,NA,NA,NA,2012,"Observed","Africa"
11,0.526798307475317,NA,NA,NA,NA,NA,2013,"Observed","Africa"
12,0.540809084457062,NA,NA,NA,NA,NA,2014,"Observed","Africa"
13,0.541278295605859,NA,NA,NA,NA,NA,2015,"Observed","Africa"
14,0.490806223479491,NA,NA,NA,NA,NA,2016,"Observed","Africa"
15,0.423100679431748,NA,NA,NA,NA,NA,2017,"Observed","Africa"
16,0.433333333333333,NA,NA,NA,NA,NA,2018,"Observed","Africa"
17,0.270718232044199,NA,NA,NA,NA,NA,2019,"Observed","Africa"
18,0.190552441953563,NA,NA,NA,NA,NA,2020,"Observed","Africa"
19,0.151711378353377,NA,NA,NA,NA,NA,2021,"Observed","Africa"
20,0.127224785761371,NA,NA,NA,NA,NA,2022,"Observed","Africa"
21,0.154503616042078,NA,NA,NA,NA,NA,2023,"Observed","Africa"
22,0.175948345439871,NA,NA,NA,NA,NA,2024,"Observed","Africa"
23,0.159432387312187,NA,NA,NA,NA,NA,2025,"Observed","Africa"
1,0.392627622888691,0.087232755908626,0.237917763619914,0.573176773430317,1.00236885062116,1400,2003,"anti-logit Year eff","Africa"
2,0.440279498567287,0.0862154724495555,0.275513734858108,0.615652626442878,1.00139867340062,2700,2004,"anti-logit Year eff","Africa"
3,0.344247982574843,0.0842397729837417,0.19236652965239,0.517672780606649,1.00353803837574,700,2005,"anti-logit Year eff","Africa"
4,0.425008878256981,0.0944783626113577,0.250018500672632,0.615512922508152,1.00071386164783,4500,2006,"anti-logit Year eff","Africa"
5,0.45535973093678,0.0937792427570749,0.275626124579058,0.639127255350406,1.00268446560783,990,2007,"anti-logit Year eff","Africa"
6,0.575211213457982,0.0885214722164017,0.399648343283696,0.737726453618054,1.00139876348931,2700,2008,"anti-logit Year eff","Africa"
